Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,GameLink,DateFetched
Marvel and DC Super Heroes,@hhjhhjhh10,Ages 9+,1908,619112,695.6M+,Supported,Not Supported,12/25/2020,10/14/2024,60,Action,153K+,76K+,https://www.roblox.com/games/6132958612/Marvel-and-DC-Super-Heroes?gameSearchSessionInfo=128a92a7-94d7-4927-89aa-00dcd09e946b&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=6132958612&amp;position=0&amp;universeId=2236455574,11/6/2024 21:58
Tower Defense RNG,Stouts Studio,All Ages,6163,70534,1.7M+,Not Supported,Supported,7/13/2024,11/6/2024,6,N/A,18K+,1132,https://www.roblox.com/games/18458348062/Tower-Defense-RNG?gameSearchSessionInfo=f6066d68-1af7-4fc0-84ec-6b2145e794e6&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=18458348062&amp;position=0&amp;universeId=6255392043,11/6/2024 21:59
[STAGE THREE!] 💪 Ninja Challenge [Beta],Ninja Challenge,All Ages,2193,30137,23.7M+,Supported,Not Supported,8/5/2024,11/4/2024,5,Obby &amp; Platformer,28K+,4016,https://www.roblox.com/games/18803315158/STAGE-THREE-Ninja-Challenge-Beta?gameSearchSessionInfo=114a5af6-30da-4236-9084-ae0a4b79b0a2&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=18803315158&amp;position=0&amp;universeId=6371309794,11/6/2024 21:59
The Floor Is LAVA! 🔥,@TheLegendOfPyro,All Ages,6826,3375710,2.5B+,Supported,Not Supported,5/16/2017,11/4/2024,16,Survival,710K+,231K+,https://www.roblox.com/games/815405518/The-Floor-Is-LAVA?gameSearchSessionInfo=8b1f32f4-8c19-4801-a80a-ba4e362f4c04&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=815405518&amp;position=0&amp;universeId=341654025,11/6/2024 21:59
Sprunki Incredibox 3D RP,@Hirarez,All Ages,1130,2343,647.4K+,Supported,Not Supported,10/19/2024,11/4/2024,30,N/A,373,73,https://www.roblox.com/games/89075149130815/Sprunki-Incredibox-3D-RP?gameSearchSessionInfo=b3d5fb78-38e4-4734-9016-aaf260783bce&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=89075149130815&amp;position=0&amp;universeId=6693507828,11/6/2024 21:59
[UPDATE 4] Meme Sea,Meme Sea Group,Ages 9+,17028,297992,420.1M+,Supported,Not Supported,7/18/2022,10/17/2024,12,RPG,299K+,22K+,https://www.roblox.com/games/10260193230/UPDATE-4-Meme-Sea?gameSearchSessionInfo=53c36c03-c7d6-4423-b840-afbace4f5087&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=10260193230&amp;position=0&amp;universeId=3756501373,11/6/2024 21:59
Human Giraffe,@Rdite,All Ages,43,446378,71.3M+,Not Supported,Not Supported,1/4/2019,12/23/2022,30,Simulation,118K+,32K+,https://www.roblox.com/games/2711482466/Human-Giraffe?gameSearchSessionInfo=cee636ff-3734-45c9-a278-739649f7364b&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=2711482466&amp;position=0&amp;universeId=979894568,11/6/2024 21:59
[UPGRADE] BARRY'S PRISON RUN! (OBBY),@PlatinumFalls,All Ages,15192,1197839,2.8B+,Supported,Supported,2/3/2022,11/1/2024,12,Obby &amp; Platformer,279K+,199K+,https://www.roblox.com/games/8712817601/UPGRADE-BARRYS-PRISON-RUN-OBBY?gameSearchSessionInfo=53ab5835-cfcd-4b91-a583-5bd060d5b2bb&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=8712817601&amp;position=0&amp;universeId=3310460039,11/6/2024 21:59
Hide and Seek Extreme,@Tim7775,All Ages,6414,6450357,2.9B+,Not Supported,Not Supported,1/18/2015,10/11/2024,14,Party &amp; Casual,882K+,86K+,https://www.roblox.com/games/205224386/Hide-and-Seek-Extreme?gameSearchSessionInfo=d7af31c8-0fe5-4f32-85ea-f60debb67f15&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=205224386&amp;position=0&amp;universeId=93740418,11/6/2024 21:59
FORTUNE 777,BASED DEPARTMEΝT,All Ages,0,0,58,Not Supported,Supported,4/14/2024,4/14/2024,200,N/A,3,1,https://www.roblox.com/games/17131327671/FORTUNE-777?gameSearchSessionInfo=5b465caf-f74c-4037-8019-8449e07e111b&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17131327671&amp;position=0&amp;universeId=5868992045,11/6/2024 21:59
