Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,GameLink,DateFetched
Launch Into Space Simulator,Basket Space,All Ages,723,136938,56.8M+,Not Supported,Not Supported,12/3/2023,11/5/2024,8,Simulation,338K+,8161,https://www.roblox.com/games/15535115259/Launch-Into-Space-Simulator?gameSearchSessionInfo=116228b1-990e-4da7-8441-643945f42a8d&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=15535115259&amp;position=0&amp;universeId=5361859890,11/5/2024 23:09
Laundry Simulator,Dev House UK,All Ages,1601,1519628,433.2M+,Supported,Not Supported,1/27/2021,11/4/2024,8,Simulation,446K+,58K+,https://www.roblox.com/games/6305942109/Laundry-Simulator?gameSearchSessionInfo=153a5e28-d8dd-483f-b313-fe16d10b59db&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=6305942109&amp;position=0&amp;universeId=2327642508,11/5/2024 23:10
The Floor Is LAVA! 🔥,@TheLegendOfPyro,All Ages,5713,3370411,2.5B+,Supported,Not Supported,5/16/2017,11/4/2024,16,Survival,710K+,231K+,https://www.roblox.com/games/815405518/The-Floor-Is-LAVA?gameSearchSessionInfo=2d03ccd7-30c5-49e7-aa95-1e8e07d4f803&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=815405518&amp;position=0&amp;universeId=341654025,11/5/2024 23:10
Legends Arena,Play Fusion Faceoff,Ages 9+,777,229515,44.6M+,Supported,Not Supported,1/13/2024,10/30/2024,15,Action,134K+,4779,https://www.roblox.com/games/15960924329/Legends-Arena?gameSearchSessionInfo=f9ef856e-10d4-47bb-8bf0-3a80d9678761&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=15960924329&amp;position=0&amp;universeId=5518683179,11/5/2024 23:10
Legends Battlegrounds,Arts of Vermillion,Ages 9+,5619,144922,63.8M+,Supported,Not Supported,11/5/2023,11/4/2024,15,Action,88K+,21K+,https://www.roblox.com/games/15269951959/Legends-Battlegrounds?gameSearchSessionInfo=d4275402-9c6a-4b44-9a7b-7631ed8c92df&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=15269951959&amp;position=0&amp;universeId=5265857965,11/5/2024 23:10
Legends Of Speed ⚡,Scriptbloxian Studios,All Ages,3215,3628449,1.7B+,Not Supported,Not Supported,4/22/2019,3/16/2024,15,Simulation,1M+,96K+,https://www.roblox.com/games/3101667897/Legends-Of-Speed?gameSearchSessionInfo=6af362e9-0749-4965-b7af-25c8ff4a72d7&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=3101667897&amp;position=0&amp;universeId=1119466531,11/5/2024 23:10
LewisLife 🏡 RP [Free UGC],ARKverse,All Ages,1933,3004122,219.1M+,Supported,Not Supported,2/20/2022,11/2/2024,30,Roleplay &amp; Avatar Sim,33K+,8215,https://www.roblox.com/games/8881972529/LewisLife-RP-Free-UGC?gameSearchSessionInfo=d4539ca4-da04-474a-b13f-d6d3a3b1de11&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=8881972529&amp;position=0&amp;universeId=3358820946,11/5/2024 23:10
LifeTogether 🏠 RP (UPDATE 33),Cinnamon Software,All Ages,36424,3402510,1.1B+,Not Supported,Not Supported,7/6/2023,11/3/2024,28,Roleplay &amp; Avatar Sim,411K+,32K+,https://www.roblox.com/games/13967668166/LifeTogether-RP-UPDATE-33?gameSearchSessionInfo=c46de934-4e5e-4fcb-b29a-c85dfb818db7&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=13967668166&amp;position=0&amp;universeId=4839802560,11/5/2024 23:10
Like or Pass,Crazy Real Games,All Ages,11172,52642,40.4M+,Supported,Supported,9/14/2024,11/4/2024,28,Party &amp; Casual,32K+,10K+,https://www.roblox.com/games/107640846225330/Like-or-Pass?gameSearchSessionInfo=f12f8bba-7fe8-4228-864c-20f26710a476&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=107640846225330&amp;position=0&amp;universeId=6548976575,11/5/2024 23:10
Livetopia 🍂 Autumn,Century Makers,All Ages,11225,28394484,4.7B+,Not Supported,Not Supported,4/28/2021,11/5/2024,17,Roleplay &amp; Avatar Sim,1M+,137K+,https://www.roblox.com/games/6737970321/Livetopia-Autumn?gameSearchSessionInfo=11123a30-6dca-4588-93cb-52b2f20efc90&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=6737970321&amp;position=0&amp;universeId=2549475383,11/5/2024 23:10
